订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月   服务模型                      月额度(亿)  $/MTok   置信度
----  ---------------------------------  --------  ----------------------------  ----------  -------  ------
1     ChatGPT Pro 20x                    USD 200   GPT 5.6 Luna                  1502.22     0.00133  medium
2     Claude Max 20x (9/14+)             USD 200   Claude Sonnet 5               392.5       0.0051   medium
3     ChatGPT Pro 5x                     USD 100   GPT 5.6 Luna                  375.56      0.00266  medium
4     ChatGPT Pro 20x                    USD 200   GPT 5.6 Terra                 240.24      0.00833  medium
5     Ollama Max                         USD 100   DeepSeek V4 Flash             216.372     0.00462  medium
6     Cursor Ultra (Standard)            USD 200   Composer 2.5                  198.926     0.01005  medium
7     Claude Max 5x (9/14+)              USD 100   Claude Sonnet 5               196.25      0.0051   low
8     GLM Coding Max (v3 ¥1078) 闲时     CNY 1078  GLM 5.3 Flash                 179.65      0.00885  high
9     GLM Coding Max (v2 ¥469) 闲时      CNY 469   GLM 5.3 Flash                 179.65      0.00385  high
10    Claude Max 20x (9/14+)             USD 200   Claude Opus 5                 157         0.01274  medium
11    Claude Max 20x (9/14+)             USD 200   Claude Opus 4.8               157         0.01274  low
12    GLM Coding Max (v3 ¥1078) 中间值   CNY 1078  GLM 5.3 Flash                 134.73      0.0118   high
13    GLM Coding Max (v2 ¥469) 中间值    CNY 469   GLM 5.3 Flash                 134.73      0.00514  high
14    OpenCode Go                        USD 10    Muse Spark 1.3 Contributor    125         0.0008   medium
15    OpenCode Go                        USD 10    Muse Spark 1.2 Contributor    125         0.0008   medium
16    ChatGPT Pro 20x                    USD 200   GPT 5.6 Sol                   123.2       0.01623  high
17    MiniMax Token Plan Ultra (Global)  USD 132   MiniMax M3                    98          0.01347  high
18    ChatGPT Pro 20x                    USD 200   GPT 5.5                       96.096      0.02081  medium
19    GLM Coding Max (v3 ¥1078) 忙时     CNY 1078  GLM 5.3 Flash                 89.82       0.01771  high
20    GLM Coding Max (v2 ¥469) 忙时      CNY 469   GLM 5.3 Flash                 89.82       0.0077   high
21    OpenCode Go                        USD 10    MiMo V2.5                     89.286      0.00112  medium
22    Ollama Max                         USD 100   GLM 5.3 Flash                 87.655      0.01141  medium
23    Claude Max 5x (9/14+)              USD 100   Claude Opus 5                 78.5        0.01274  medium
24    Cursor Ultra                       USD 200   Grok 4.6                      77.37       0.02585  medium
25    Cursor Ultra                       USD 200   Grok 4.5                      77.37       0.02585  medium
26    GLM Coding Pro (v3 ¥538) 闲时      CNY 538   GLM 5.3 Flash                 76.99       0.01031  high
27    GLM Coding Pro (v2 ¥149) 闲时      CNY 149   GLM 5.3 Flash                 76.99       0.00285  high
28    ChatGPT Plus                       USD 20    GPT 5.6 Luna                  75.11       0.00266  high
29    MiniMax Token Plan Ultra           CNY 469   MiniMax M3                    71          0.00974  high
30    Cursor Ultra (Composer Fast)       USD 200   Composer 2.5                  70.587      0.02833  medium
31    Ollama Max                         USD 100   DeepSeek V4 Pro               70.472      0.01419  medium
32    ChatGPT Pro 5x                     USD 100   GPT 5.6 Terra                 60.06       0.01665  medium
33    GLM Coding Max (v3 ¥1078) 闲时     CNY 1078  GLM 5.3                       59.26       0.02684  high
34    GLM Coding Max (v2 ¥469) 闲时      CNY 469   GLM 5.3                       59.26       0.01168  high
35    GLM Coding Pro (v3 ¥538) 中间值    CNY 538   GLM 5.3 Flash                 57.74       0.01375  high
36    GLM Coding Pro (v2 ¥149) 中间值    CNY 149   GLM 5.3 Flash                 57.74       0.00381  high
37    Cursor Pro+ (Standard)             USD 60    Composer 2.5                  53.047      0.01131  low
38    MiniMax Token Plan Max (Global)    USD 55    MiniMax M3                    51          0.01078  high
39    SuperGrok Heavy                    USD 300   Grok 4.6                      50.9        0.05894  medium
40    SuperGrok Heavy                    USD 300   Grok 4.5                      50.9        0.05894  medium
41    Kimi 会员 699 †                    CNY 699   Kimi K2.7 Code                47.04       0.02192  medium
42    Command Code GOAT                  USD 10    MiMo V2.5                     44.643      0.00224  medium
43    GLM Coding Max (v3 ¥1078) 中间值   CNY 1078  GLM 5.3                       44.45       0.03578  high
44    GLM Coding Max (v2 ¥469) 中间值    CNY 469   GLM 5.3                       44.45       0.01557  high
45    Kimi 会员 699 †                    CNY 699   Kimi K3                       43.53       0.02369  medium
46    Ollama Max                         USD 100   MiniMax M2.7                  43.384      0.02305  medium
47    Command Code GOAT                  USD 10    DeepSeek V4 Flash             43.274      0.00231  medium
48    Ollama Pro                         USD 20    DeepSeek V4 Flash             43.274      0.00462  medium
49    Command Code GOAT                  USD 10    Muse Spark 1.3 Contributor    41.667      0.0024   medium
50    Command Code GOAT                  USD 10    Muse Spark 1.2 Contributor    41.667      0.0024   medium
51    Claude Pro                         USD 20    Claude Sonnet 5               39.7        0.00504  medium
